job_id,title,company,salary,location,job_type,link
54,"Data Engineer - London - AWS - Up to 70,000  Benefits",Nigel Frank International,"£60,000 - £70,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer-london-aws-up-to-70000-benefits/53910930?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D3
55,Contract - Ai Engineer,Sphere Digital Recruitment,£400 - £450 per day,London,"Contract, full-time",https://www.reed.co.uk/jobs/contract-ai-engineer/53972029?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D3
56,Senior AWS Data Engineer,Lorien,"£90,000 - £100,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/senior-aws-data-engineer/53958554?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D3
57,DV Python Data Engineer,Opus Recruitment Solutions Ltd,£600 - £650 per day,London,"Contract, full-time",https://www.reed.co.uk/jobs/dv-python-data-engineer/53802483?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D3
58,Databricks Data Engineer Contract,Harnham - Data & Analytics Recruitment,£570 - £585 per day,London,"Contract, full-time",https://www.reed.co.uk/jobs/databricks-data-engineer-contract/53767254?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D3
59,Data Engineer or Data Strategy Consultant,Pontoon,Salary negotiable,"Bromley, Kent","Contract, full-time",https://www.reed.co.uk/jobs/data-engineer-or-data-strategy-consultant/53938973?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D3
60,Big Data Engineer - DV Cleared,Searchability,"£45,000 - £75,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/big-data-engineer-dv-cleared/53966322?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D3
61,Senior Data Engineer Fully-remote,Method Resourcing,"£80,000 - £100,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/senior-data-engineer-fully-remote/53872150?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D3
62,"Data Engineer Azure, PowerBI, SQL",Method Resourcing,"£50,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer-azure-powerbi-sql/53874880?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D3
63,Lead Data Engineer - Azure & Databricks,Nigel Frank International,"£80,000 - £95,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/lead-data-engineer-azure-databricks/53791634?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D3
64,Power BI Developer / Data Engineer,Huxley,"£45,000 - £75,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/power-bi-developer-data-engineer/53967966?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D3
65,Data Science Engineer,Kingsgate Recruitment Ltd,"£65,000 - £75,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-science-engineer/53959561?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D3
66,Lead Data Engineer - London - £90-95k,Nigel Frank International,"£90,000 - £95,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/lead-data-engineer-london-90-95k/53790478?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D3
67,Data Engineer M365/Azure - Outside Ir35,Adecco ,£550 - £600 per day,London,"Contract, full-time",https://www.reed.co.uk/jobs/data-engineer-m365-azure-outside-ir35/53894470?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D3
68,Data Cabling Engineer,Future Engineering Recruitment Ltd,"£38,000 - £45,000 per annum","East London, London","Permanent, full-time",https://www.reed.co.uk/jobs/data-cabling-engineer/53968889?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D3
69,Data Centre Engineer,Claranet Limited,Competitive salary,London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-centre-engineer/54012969?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D3
70,AI Platform Engineer,McGregor Boyall,£800 - £850 per day,London,"Contract, full-time",https://www.reed.co.uk/jobs/ai-platform-engineer/54010364?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D3
71,Data Cabling Engineer,Operations Resources,"£31,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-cabling-engineer/53987736?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D3
72,Data Warehouse Engineer,Pontoon,£450 - £500 per day,London,"Contract, full-time",https://www.reed.co.uk/jobs/data-warehouse-engineer/53851207?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D3
73,Data Analyst/Engineer,Robert Half,Salary negotiable,London,"Contract, full-time",https://www.reed.co.uk/jobs/data-analyst-engineer/53849359?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D3
74,Senior Data Engineer Financial Services,Hays Specialist Recruitment Limited,£700 - £775 per day,London,"Contract, full-time",https://www.reed.co.uk/jobs/senior-data-engineer-financial-services/53990700?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D3
75,BI/ ETL Developer Data Engineer,Lorien,£550 - £600 per day,London,"Contract, full-time",https://www.reed.co.uk/jobs/bi-etl-developer-data-engineer/53863055?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D3
76,Lead Big Data Engineer- eDV Cleared,Searchability,"£64,000 - £96,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/lead-big-data-engineer-edv-cleared/53971077?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D4
77,Senior Data Engineer DataMesh Python Spark,Client Server Ltd.,"£70,000 - £80,000 per annum","City of London, London","Permanent, full-time",https://www.reed.co.uk/jobs/senior-data-engineer-datamesh-python-spark/53854149?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D4
78,"Data Engineer eDV Clearance Defence, MOD}",Ernest Gordon Recruitment Limited,"£40,000 - £120,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer-edv-clearance-defence-mod/53844463?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D4
79,Senior Data Engineer Python Spark AWS,Client Server Ltd.,"£75,000 - £90,000 per annum","City of London, London","Permanent, full-time",https://www.reed.co.uk/jobs/senior-data-engineer-python-spark-aws/53886883?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D4
80,"Lead Data Engineer - Hybrid/London - £95,000",Nigel Frank International,"£95,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/lead-data-engineer-hybrid-london-95000/53797577?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D4
81,Data Engineer Python -TOP Asset Manager!,Robert Half,Salary negotiable,London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer-python-top-asset-manager/53768278?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D4
82,Data Security Engineer,Holland & Barrett International Limited,Competitive salary,London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-security-engineer/53931964?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D4
83,"Data Engineer DBT, Snowflake, Python -TOP Pharmacare!",Robert Half,Salary negotiable,London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer-dbt-snowflake-python-top-pharmacare/53943684?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D4
84,Lead Data Engineer x2 - London - Permanent - Hybrid,Crimson,"£65,000 - £74,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/lead-data-engineer-x2-london-permanent-hybrid/53940342?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D4
85,"Senior Data Engineer - Java, Python, LLM''s, Gen AI",Harvey Nash,£600 - £625 per day,London,"Contract, full-time",https://www.reed.co.uk/jobs/senior-data-engineer-java-python-llms-gen-ai/53940644?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D4
86,Market Data Production Engineer,Deutsche Bank,Competitive salary,London,"Permanent, full-time",https://www.reed.co.uk/jobs/market-data-production-engineer/53998983?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D4
87,Data Science Engineer - DV Cleared,Searchability,"£40,000 - £85,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-science-engineer-dv-cleared/53968317?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D4
88,Data Science Engineer - DV Cleared,Searchability,"£40,000 - £85,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-science-engineer-dv-cleared/53966321?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D4
89,Senior (Data) Platform Engineer ,WeDo Technology Solutions Limited,"£100,000 - £115,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/senior-data-platform-engineer/53860252?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D4
90,"Senior Data Engineer - London - GCP - Up to £75,000  Benefits",Nigel Frank International,"£70,000 - £75,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/senior-data-engineer-london-gcp-up-to-75000-benefits/53964542?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D4
91,Senior Data Engineer - TLP (secondment to Toyota (GB) PLC),TLP Consultancy Ltd,"£65,000 - £75,000 per annum","Epsom, Surrey","Permanent, full-time",https://www.reed.co.uk/jobs/senior-data-engineer-tlp-secondment-to-toyota-gb-plc/53692793?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D4
92,HPC & Research Data Systems Engineer,The Francis Crick Institute,"£47,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/hpc-research-data-systems-engineer/53965092?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D4
93,Data Analytics Engineer/BI Developer,Robert Walters,"£60,000 - £70,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-analytics-engineer-bi-developer/53913125?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D4
94,"Cloud Data Engineer, Data Laking, Azure, SQL, IaC, Mainly Remote",Carrington Recruitment Solutions Ltd,"£60,000 - £70,000 per annum, negotiable",London,"Permanent, full-time",https://www.reed.co.uk/jobs/cloud-data-engineer-data-laking-azure-sql-iac-mainly-remote/53854952?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D4
95,AWS Senior Data Engineer - 6 Months Outside IR35 - London,Sanderson,Competitive salary,London,"Contract, full-time",https://www.reed.co.uk/jobs/aws-senior-data-engineer-6-months-outside-ir35-london/53913197?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D4
96,"Data Engineer - Python, Linux, Apache Airflow, AWS or GCP - Data Consultancy - London",Avanti,"£60,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer-python-linux-apache-airflow-aws-or-gcp-data-consultancy-london/54014971?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D4
97,"AI/ML Engineer, Python Developer, London, COR7014",Corriculo Ltd,"£45,000 - £50,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/ai-ml-engineer-python-developer-london-cor7014/53871201?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D4
98,"Data Engineer Azure, ETL, SQL - Hybrid/Flexible - London/Portsmouth - Up to £50k",Computappoint,Competitive salary,London,"Permanent, full-time",https://www.reed.co.uk/jobs/data-engineer-azure-etl-sql-hybrid-flexible-london-portsmouth-up-to-50k/53908974?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D4
99,ML Engineer / Data Scientist,Searchability,"£60,000 - £65,000 per annum, inc benefits",London,"Permanent, full-time",https://www.reed.co.uk/jobs/ml-engineer-data-scientist/53867898?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D4
100,"Senior Gen AI Software Engineer - Python, Machine Learning",Harvey Nash,£800 - £900 per day,London,"Contract, full-time",https://www.reed.co.uk/jobs/senior-gen-ai-software-engineer-python-machine-learning/53929528?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs-in-london%3Fpageno%3D4
