,title,company,salary,location,job_type,link
90,Principal Data Engineer,Asset Resourcing Limited,"£65,000 - £85,000 per annum, negotiable","Newcastle Upon Tyne, Tyne and Wear","Permanent, full-time",https://www.reed.co.uk/jobs/principal-data-engineer/53610512?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D4
91,Lead Data Engineer,Lorien,"£105,000 - £115,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/lead-data-engineer/53550707?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D4
92,Junior Data Engineer ,Maxwell Bond,"£28,000 - £35,000 per annum","Warrington, Cheshire","Permanent, full-time",https://www.reed.co.uk/jobs/junior-data-engineer/53726386?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D4
93,Azure Data Engineer,Gleeson Recruitment Group,"£45,000 - £55,000 per annum",Derbyshire,"Permanent, full-time",https://www.reed.co.uk/jobs/azure-data-engineer/53398468?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D4
94,Azure Data Engineer,Now-Casting,"£45,000 - £55,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/azure-data-engineer/53700914?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D4
95,Senior Data Engineer,Brookson ,Salary negotiable,"Warrington, Cheshire","Permanent, full-time",https://www.reed.co.uk/jobs/senior-data-engineer/53758013?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D4
96,Senior Data Engineer,Harnham - Data & Analytics Recruitment,"£80,000 - £90,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/senior-data-engineer/53790181?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D4
97,Senior Data Engineer,BOWERFORD ASSOCIATES,"£57,500 - £60,000 per annum, inc benefits, negotiable","Totterdown, Bristol, Avon","Permanent, full-time",https://www.reed.co.uk/jobs/senior-data-engineer/53759266?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D4
98,Senior Data Engineer,Harnham - Data & Analytics Recruitment,"£80,000 - £95,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/senior-data-engineer/53500011?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D4
99,Lead Data Engineer,Fintop Consulting Limited,Competitive salary,"West London, London","Permanent, full-time",https://www.reed.co.uk/jobs/lead-data-engineer/53316589?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D4
100,Staff Data Engineer,Harnham - Data & Analytics Recruitment,"£95,000 - £105,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/staff-data-engineer/53581809?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D4
101,Senior Data Engineer,Harnham - Data & Analytics Recruitment,"£45,000 - £55,000 per annum",London,"Permanent, full-time",https://www.reed.co.uk/jobs/senior-data-engineer/53570888?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D4
102,Data Engineer Contract,In Technology Group Limited,£300 per day,"Manchester, Lancashire","Contract, full-time",https://www.reed.co.uk/jobs/data-engineer-contract/53642184?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D4
103,Senior Data Engineer,TLP Consultancy Ltd,"£60,000 - £70,000 per annum","Epsom, Surrey","Permanent, full-time",https://www.reed.co.uk/jobs/senior-data-engineer/53542244?source=searchResults&filter=%2Fjobs%2Fdata-engineer-jobs%3Fpageno%3D4
